date,고흥·녹동항,당진·삽교호,부산·광안리
2025-06-11,0.0441,0.14572,0.46018
2025-06-12,0.03515,0.15978,0.57523
2025-06-13,0.04474,0.36751,0.64298
2025-06-14,0.15914,1.44128,1.54801
2025-06-15,0.0377,0.13294,0.56948
2025-06-16,0.02748,0.06838,0.47488
2025-06-17,0.03067,0.03643,0.44101
2025-06-18,0.01853,0.04729,0.48383
2025-06-19,0.02556,0.03515,0.55989
2025-06-20,0.04346,0.05177,0.62061
2025-06-21,0.04218,0.16681,1.00665
2025-06-22,0.03067,0.06966,0.70306
2025-06-23,0.04474,0.03387,0.53241
2025-06-24,0.02237,0.02237,0.53305
2025-06-25,0.04282,0.02173,0.59313
2025-06-26,0.04921,0.03067,0.5829
2025-06-27,0.10098,0.05496,1.20927
2025-06-28,0.24607,0.18535,4.13273
2025-06-29,0.0409,0.0441,0.7446
2025-06-30,0.023,0.01597,0.75547
2025-07-01,0.03259,0.01406,0.76314
2025-07-02,0.03643,0.02812,0.81299
2025-07-03,0.03643,0.01981,0.84751
2025-07-04,0.06583,0.03004,1.34029
2025-07-05,0.1943,0.12974,8.90398
2025-07-06,0.04154,0.0262,1.82604
2025-07-07,0.0409,0.01278,1.1837
2025-07-08,0.03387,0.01342,0.98492
2025-07-09,0.04026,0.01597,0.92165
2025-07-10,0.03898,0.00958,1.02008
2025-07-11,0.08692,0.03323,1.49305
2025-07-12,0.2352,0.11185,6.51356
2025-07-13,0.03131,0.02556,1.11723
2025-07-14,0.04282,0.00894,0.9568
2025-07-15,0.02045,0.01086,0.81555
2025-07-16,0.03834,0.00319,1.21118
2025-07-17,0.0262,0.00766,0.88138
2025-07-18,0.04793,0.00958,1.13193
2025-07-19,0.08308,0.03387,5.8284
2025-07-20,0.03451,0.00894,1.39334
2025-07-21,0.14253,0.00703,1.10508
2025-07-22,0.10545,0.0,1.03542
2025-07-23,0.0882,0.0,1.06865
2025-07-24,0.09139,0.01022,1.27574
2025-07-25,0.15211,0.01725,1.77875
2025-07-26,0.4621,0.08436,6.96033
2025-07-27,0.10162,0.023,1.84841
2025-07-28,0.07414,0.01278,1.41635
2025-07-29,0.06391,0.00639,1.29683
2025-07-30,0.07541,0.01278,1.36266
2025-07-31,0.10354,0.01597,1.91041
2025-08-01,0.1502,0.02748,2.54892
2025-08-02,0.37965,0.06966,6.63309
2025-08-03,0.04921,0.01661,1.40101
2025-08-04,0.03387,0.01533,0.96383
2025-08-05,0.03515,0.02812,1.00538
2025-08-06,0.0377,0.00639,0.94913
2025-08-07,0.05304,0.01022,1.21949
2025-08-08,0.08117,0.02748,1.94429
2025-08-09,0.06455,0.05113,3.37918
2025-08-10,0.03898,0.02428,3.631
2025-08-11,0.05432,0.0147,1.50519
2025-08-12,0.0441,0.02109,1.33134
2025-08-13,0.05432,0.01789,1.62471
2025-08-14,0.13549,0.03643,2.67547
2025-08-15,0.28058,0.06966,5.91788
2025-08-16,0.69731,0.13294,9.11746
2025-08-17,0.09778,0.03834,1.60106
2025-08-18,0.05752,0.01406,1.06226
2025-08-19,0.04601,0.01278,0.88841
2025-08-20,0.06327,0.03004,0.9095
2025-08-21,0.05304,0.03195,1.08463
2025-08-22,0.09075,0.05752,1.56144
2025-08-23,0.26077,0.14253,6.31031
2025-08-24,0.04026,0.06071,1.52117
2025-08-25,0.05496,0.06838,1.05651
2025-08-26,0.04218,0.05432,0.87179
2025-08-27,0.05049,0.07925,1.83755
2025-08-28,0.08948,0.07861,1.03989
2025-08-29,0.12079,0.25502,1.36905
2025-08-30,0.26588,0.30615,3.98189
2025-08-31,0.04474,0.23776,0.73438
2025-09-01,0.05241,0.16873,0.72159
2025-09-02,0.04346,0.38668,0.689
2025-09-03,0.07094,0.47424,0.73246
2025-09-04,0.11824,0.28569,0.80468
2025-09-05,0.15339,0.40266,1.46429
2025-09-06,0.39179,1.22844,5.42381
2025-09-07,0.09139,0.27355,1.06226
2025-09-08,0.06711,0.20836,1.107
2025-09-09,0.04985,0.15786,1.2425
2025-09-10,0.05241,0.16426,0.93635
2025-09-11,0.04793,0.1764,1.18689
2025-09-12,0.05688,0.18343,1.57038
2025-09-13,0.18982,1.07888,4.62424
2025-09-14,0.05113,0.20644,1.17923
2025-09-15,0.0262,0.18343,0.78231
2025-09-16,0.03962,0.14764,0.81555
2025-09-17,0.04282,0.10418,0.86988
2025-09-18,0.04857,0.13422,0.87946
2025-09-19,0.08308,0.209,1.40293
2025-09-20,0.20836,1.07249,6.4995
2025-09-21,0.04218,0.22689,1.25081
2025-09-22,0.03515,0.14828,0.86604
2025-09-23,0.03643,0.13997,0.77081
2025-09-24,0.03004,0.12591,0.70562
2025-09-25,0.04537,0.14508,0.76697
2025-09-26,0.08372,0.28058,1.35819
2025-09-27,0.21283,1.10956,5.7958
2025-09-28,0.06327,0.16298,1.24761
2025-09-29,0.07414,0.14508,1.01496
2025-09-30,0.07094,0.15467,0.84623
